Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Alaska Airlines Inc. (AS)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"AS","01/01/2022","0595","N483AS","SEA","8"
"AS","01/01/2022","0697","N481AS","SEA","2"
"AS","01/02/2022","0595","N215AK","SEA","34"
"AS","01/02/2022","0697","N265AK","SEA","45"
"AS","01/03/2022","0595","N294AK","SEA","4"
"AS","01/03/2022","0697","N298AK","SEA","-6"
"AS","01/04/2022","0263","N408AS","SEA","11"
"AS","01/04/2022","0698","N407AS","SEA","-6"
"AS","01/05/2022","0263","N214AK","SEA","0"
"AS","01/05/2022","0698","N292AK","SEA","27"
"AS","01/06/2022","0263","N270AK","SEA","16"
"AS","01/06/2022","0698","N529AS","SEA","14"
"AS","01/07/2022","0263","N407AS","SEA","0"
"AS","01/07/2022","0698","N512AS","SEA","17"
"AS","01/08/2022","0263","N267AK","SEA","144"
"AS","01/08/2022","0698","N564AS","SEA","85"
"AS","01/09/2022","0263","N294AK","SEA","500"
"AS","01/09/2022","0698","N551AS","SEA","44"
"AS","01/10/2022","0263","N281AK","SEA","0"
"AS","01/10/2022","0698","N597AS","SEA","15"
"AS","01/11/2022","0263","N472AS","SEA","-7"
"AS","01/11/2022","0698","N535AS","SEA","86"
"AS","01/12/2022","0263","N495AS","SEA","-8"
"AS","01/12/2022","0698","N520AS","SEA","64"
"AS","01/13/2022","0263","N290AK","SEA","0"
"AS","01/13/2022","0698","N558AS","SEA","13"
"AS","01/14/2022","0698","N517AS","SEA","4"
"AS","01/15/2022","0698","N273AK","SEA","7"
"AS","01/16/2022","0698","N506AS","SEA","1"
"AS","01/17/2022","0698","N565AS","SEA","2"
"AS","01/18/2022","0698","N593AS","SEA","12"
"AS","01/19/2022","0698","N558AS","SEA","0"
"AS","01/20/2022","0698","N566AS","SEA","-3"
"AS","01/21/2022","0698","N557AS","SEA","12"
"AS","01/22/2022","0698","N516AS","SEA","0"
"AS","01/23/2022","0698","N597AS","SEA","12"
"AS","01/24/2022","0698","N534AS","SEA","-5"
"AS","01/25/2022","0698","N514AS","SEA","-16"
"AS","01/26/2022","0698","N236AK","SEA","18"
"AS","01/27/2022","0698","N442AS","SEA","2"
"AS","01/28/2022","0698","N536AS","SEA","50"
"AS","01/29/2022","0698","N597AS","SEA","-5"
"AS","01/30/2022","0698","N428AS","SEA","0"
"AS","01/31/2022","0698","N536AS","SEA","-7"
"AS","02/01/2022","0698","N523AS","SEA","-9"
"AS","02/02/2022","0263","N525AS","SEA","-13"
"AS","02/02/2022","0698","N562AS","SEA","-5"
"AS","02/03/2022","0263","N409AS","SEA","0"
"AS","02/03/2022","0698","N527AS","SEA","5"
"AS","02/04/2022","0263","N236AK","SEA","0"
"AS","02/04/2022","0698","N519AS","SEA","8"
"AS","02/05/2022","0263","N265AK","SEA","11"
"AS","02/05/2022","0698","N551AS","SEA","-7"
"AS","02/06/2022","0263","N275AK","SEA","-12"
"AS","02/06/2022","0698","N584AS","SEA","5"
"AS","02/07/2022","0263","N434AS","SEA","-9"
"AS","02/07/2022","0698","N588AS","SEA","2"
"AS","02/08/2022","0263","N272AK","SEA","-9"
"AS","02/08/2022","0698","N585AS","SEA","-13"
"AS","02/09/2022","0263","N552AS","SEA","-10"
"AS","02/09/2022","0698","N592AS","SEA","-6"
"AS","02/10/2022","0263","N282AK","SEA","-10"
"AS","02/10/2022","0698","N592AS","SEA","-9"
"AS","02/11/2022","0263","N409AS","SEA","0"
"AS","02/11/2022","0698","N559AS","SEA","-14"
"AS","02/12/2022","0263","N268AK","SEA","-13"
"AS","02/12/2022","0698","N584AS","SEA","12"
"AS","02/13/2022","0263","N273AK","SEA","-8"
"AS","02/13/2022","0698","N516AS","SEA","16"
"AS","02/14/2022","0263","N409AS","SEA","-9"
"AS","02/14/2022","0698","N566AS","SEA","-4"
"AS","02/15/2022","0263","N288AK","SEA","-8"
"AS","02/15/2022","0698","N552AS","SEA","-4"
"AS","02/16/2022","0263","N549AS","SEA","-14"
"AS","02/16/2022","0698","N562AS","SEA","-3"
"AS","02/17/2022","0263","N457AS","SEA","-5"
"AS","02/17/2022","0698","N408AS","SEA","-4"
"AS","02/18/2022","0263","N459AS","SEA","-4"
"AS","02/18/2022","0698","N477AS","SEA","30"
"AS","02/19/2022","0263","N293AK","SEA","-10"
"AS","02/19/2022","0698","N298AK","SEA","-1"
"AS","02/20/2022","0263","N434AS","SEA","-4"
"AS","02/20/2022","0698","N553AS","SEA","26"
"AS","02/21/2022","0263","N483AS","SEA","-7"
"AS","02/21/2022","0698","N481AS","SEA","1"
"AS","02/22/2022","0263","N472AS","SEA","-5"
"AS","02/22/2022","0698","N518AS","SEA","-6"
"AS","02/23/2022","0263","N461AS","SEA","-12"
"AS","02/23/2022","0698","N531AS","SEA","11"
"AS","02/24/2022","0263","N459AS","SEA","-7"
"AS","02/24/2022","0698","N251AK","SEA","17"
"AS","02/25/2022","0263","N433AS","SEA","-5"
"AS","02/25/2022","0698","N265AK","SEA","20"
"AS","02/26/2022","0263","N298AK","SEA","-9"
"AS","02/26/2022","0698","N215AK","SEA","20"
"AS","02/27/2022","0263","N270AK","SEA","2"
"AS","02/27/2022","0698","N563AS","SEA","-5"
"AS","02/28/2022","0263","N281AK","SEA","-6"
"AS","02/28/2022","0698","N251AK","SEA","1"
"AS","03/01/2022","0263","N277AK","SEA","-6"
"AS","03/01/2022","0698","N570AS","SEA","-7"
"AS","03/02/2022","0263","N478AS","SEA","-5"
"AS","03/02/2022","0698","N563AS","SEA","-5"
"AS","03/03/2022","0263","N524AS","SEA","-10"
"AS","03/03/2022","0698","N483AS","SEA","11"
"AS","03/04/2022","0263","N469AS","SEA","-14"
"AS","03/04/2022","0698","N435AS","SEA","23"
"AS","03/05/2022","0263","N284AK","SEA","-9"
"AS","03/05/2022","0698","N224AK","SEA","-2"
"AS","03/06/2022","0263","N464AS","SEA","-1"
"AS","03/06/2022","0698","N532AS","SEA","4"
"AS","03/07/2022","0263","N285AK","SEA","-11"
"AS","03/07/2022","0698","N512AS","SEA","0"
"AS","03/08/2022","0263","N236AK","SEA","4"
"AS","03/08/2022","0698","N529AS","SEA","40"
"AS","03/09/2022","0263","N267AK","SEA","-7"
"AS","03/09/2022","0698","N585AS","SEA","2"
"AS","03/10/2022","0263","N282AK","SEA","54"
"AS","03/10/2022","0698","N459AS","SEA","0"
"AS","03/11/2022","0263","N409AS","SEA","-4"
"AS","03/11/2022","0698","N469AS","SEA","3"
"AS","03/12/2022","0263","N277AK","SEA","-6"
"AS","03/12/2022","0698","N297AK","SEA","-6"
"AS","03/13/2022","0263","N495AS","SEA","19"
"AS","03/13/2022","0698","N553AS","SEA","11"
"AS","03/14/2022","0263","N281AK","SEA","10"
"AS","03/14/2022","0698","N224AK","SEA","0"
"AS","03/15/2022","0263","N267AK","SEA","16"
"AS","03/15/2022","0698","N592AS","SEA","10"
"AS","03/16/2022","0263","N283AK","SEA","17"
