Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Delta Airlines Inc. (DL)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"DL","01/01/2022","1227","N105DU","LGA","24"
"DL","01/01/2022","1315","N953AT","ATL","-3"
"DL","01/01/2022","1492","N362DN","ATL","-4"
"DL","01/01/2022","1520","N138DU","SLC","-1"
"DL","01/01/2022","2097","N111NG","SLC","0"
"DL","01/01/2022","2521","N971AT","ATL","5"
"DL","01/01/2022","2673","N317US","ATL","9"
"DL","01/01/2022","2695","N951AT","ATL","-5"
"DL","01/02/2022","0678","N136DQ","LAX","-2"
"DL","01/02/2022","0688","N123DQ","LAX","24"
"DL","01/02/2022","1227","N128DU","LGA","-3"
"DL","01/02/2022","1234","N128DU","SLC","-1"
"DL","01/02/2022","1295","N110DU","LGA","26"
"DL","01/02/2022","1308","N121DU","MSP","19"
"DL","01/02/2022","1315","N312US","ATL","0"
"DL","01/02/2022","1492","N926AT","ATL","-1"
"DL","01/02/2022","1520","N125DU","SLC","-1"
"DL","01/02/2022","2053","N339DN","ATL","0"
"DL","01/02/2022","2097","N105DU","SLC","-1"
"DL","01/02/2022","2521","N353NW","ATL","92"
"DL","01/02/2022","2525","N118DU","LGA","-8"
"DL","01/02/2022","2673","N352NW","ATL","2"
"DL","01/02/2022","2695","N926AT","ATL","0"
"DL","01/03/2022","0678","N132DU","LAX","18"
"DL","01/03/2022","0688","N118DU","LAX","-3"
"DL","01/03/2022","1227","N141DU","LGA","-1"
"DL","01/03/2022","1234","N129DU","SLC","45"
"DL","01/03/2022","1295","N114DU","LGA","-2"
"DL","01/03/2022","1308","N123DQ","MSP","-2"
"DL","01/03/2022","1315","N341DN","ATL","-1"
"DL","01/03/2022","1492","N943AT","ATL","-6"
"DL","01/03/2022","1520","N119DU","SLC","16"
"DL","01/03/2022","2053","N351DN","ATL","-4"
"DL","01/03/2022","2097","N110DU","SLC","-6"
"DL","01/03/2022","2521","N370NW","ATL","79"
"DL","01/03/2022","2525","N116DU","LGA","86"
"DL","01/03/2022","2673","N321US","ATL","61"
"DL","01/03/2022","2695","N939AT","ATL","-1"
"DL","01/04/2022","0678","N111NG","LAX","315"
