Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"B6","01/01/2022","0932","N3065J","BOS","74"
"B6","01/01/2022","1882","N503JB","JFK","-7"
"B6","01/02/2022","0932","N337JB","BOS","0"
"B6","01/02/2022","1882","N706JB","JFK","42"
"B6","01/03/2022","0932","N337JB","BOS","16"
"B6","01/03/2022","1882","N615JB","JFK","0"
"B6","01/04/2022","0932","N206JB","BOS","6"
"B6","01/04/2022","1882","N629JB","JFK","-5"
"B6","01/05/2022","1882","N526JL","JFK","1"
"B6","01/06/2022","0932","N3085J","BOS","-16"
"B6","01/06/2022","1882","N665JB","JFK","-11"
"B6","01/07/2022","0932","N3085J","BOS","148"
"B6","01/07/2022","1882","N655JB","JFK","-3"
"B6","01/08/2022","1882","N613JB","JFK","186"
"B6","01/09/2022","0932","N3062J","BOS","2"
"B6","01/09/2022","1882","N510JB","JFK","4"
"B6","01/10/2022","0932","N3044J","BOS","-17"
"B6","01/10/2022","1882","N665JB","JFK","-12"
"B6","01/11/2022","1882","N659JB","JFK","-17"
"B6","01/12/2022","1882","N618JB","JFK","-9"
"B6","01/13/2022","0932","N3044J","BOS","-14"
"B6","01/13/2022","1882","N621JB","JFK","-10"
"B6","01/14/2022","0932","N3077J","BOS","-11"
"B6","01/14/2022","1882","N595JB","JFK","1"
"B6","01/15/2022","1882","N632JB","JFK","17"
"B6","01/16/2022","0932","N3008J","BOS","-2"
"B6","01/16/2022","1882","N775JB","JFK","161"
"B6","01/17/2022","0932","N3008J","BOS","-8"
"B6","01/17/2022","1882","N789JB","JFK","94"
"B6","01/18/2022","1882","N766JB","JFK","-1"
"B6","01/19/2022","1882","N607JB","JFK","227"
"B6","01/20/2022","0932","N588JB","BOS","143"
"B6","01/20/2022","1882","N809JB","JFK","7"
"B6","01/21/2022","0932","N3062J","BOS","216"
"B6","01/21/2022","1882","N715JB","JFK","65"
"B6","01/22/2022","1882","N597JB","JFK","20"
"B6","01/23/2022","0932","N789JB","BOS","-6"
"B6","01/23/2022","1882","N613JB","JFK","-4"
"B6","01/24/2022","0932","N3058J","BOS","19"
"B6","01/24/2022","1882","N509JB","JFK","6"
"B6","01/25/2022","1882","N715JB","JFK","-9"
"B6","01/26/2022","1882","N712JB","JFK","-3"
"B6","01/27/2022","0932","N317JB","BOS","-9"
"B6","01/27/2022","1882","N656JB","JFK","28"
"B6","01/28/2022","0932","N3062J","BOS","0"
"B6","01/28/2022","1882","N537JT","JFK","104"
"B6","01/29/2022","1882","N640JB","JFK","0"
"B6","01/30/2022","0932","N3062J","BOS","0"
"B6","01/30/2022","1882","N715JB","JFK","93"
"B6","01/31/2022","0932","N3008J","BOS","-6"
"B6","01/31/2022","1882","N715JB","JFK","-4"
"B6","02/01/2022","1882","N629JB","JFK","44"
"B6","02/02/2022","1882","N531JL","JFK","25"
"B6","02/03/2022","0932","N3077J","BOS","17"
"B6","02/03/2022","1882","N531JL","JFK","14"
"B6","02/04/2022","0932","N3058J","BOS","0"
"B6","02/04/2022","1882","N766JB","JFK","1336"
"B6","02/05/2022","1882","N534JB","JFK","24"
"B6","02/06/2022","0932","N3008J","BOS","3"
"B6","02/06/2022","1882","N662JB","JFK","109"
"B6","02/07/2022","0932","N3085J","BOS","11"
"B6","02/07/2022","1882","N607JB","JFK","-2"
"B6","02/08/2022","0932","N520JB","BOS","-18"
"B6","02/08/2022","1882","N583JB","JFK","-10"
"B6","02/09/2022","1882","N505JB","JFK","-9"
"B6","02/10/2022","0932","N3062J","BOS","-15"
"B6","02/10/2022","1882","N627JB","JFK","2"
"B6","02/11/2022","0932","N3058J","BOS","-11"
"B6","02/11/2022","1882","N621JB","JFK","-3"
"B6","02/12/2022","1882","N646JB","JFK","30"
"B6","02/13/2022","0932","N3058J","BOS","31"
"B6","02/13/2022","1882","N570JB","JFK","64"
"B6","02/14/2022","0932","N3058J","BOS","0"
"B6","02/14/2022","1882","N913JB","JFK","268"
"B6","02/15/2022","0932","N3008J","BOS","4"
"B6","02/17/2022","0932","N3065J","BOS","0"
"B6","02/17/2022","1882","N520JB","JFK","83"
"B6","02/18/2022","0932","N3044J","BOS","9"
"B6","02/18/2022","1882","N807JB","JFK","29"
"B6","02/19/2022","0932","N281JB","BOS","3"
"B6","02/19/2022","1882","N571JB","JFK","46"
"B6","02/20/2022","0932","N324JB","BOS","-3"
"B6","02/20/2022","1882","N658JB","JFK","20"
"B6","02/21/2022","0932","N3008J","BOS","99"
"B6","02/21/2022","1882","N715JB","JFK","69"
"B6","02/22/2022","1882","N709JB","JFK","8"
"B6","02/23/2022","1882","N562JB","JFK","-10"
"B6","02/24/2022","0932","N3023J","BOS","21"
"B6","02/24/2022","1882","N597JB","JFK","7"
"B6","02/25/2022","0932","N3008J","BOS","0"
"B6","02/25/2022","1882","N663JB","JFK","78"
"B6","02/26/2022","0932","N179JB","BOS","1241"
"B6","02/26/2022","1882","N618JB","JFK","64"
"B6","02/27/2022","0932","N292JB","BOS","76"
"B6","02/27/2022","1882","N634JB","JFK","52"
"B6","02/28/2022","0932","N521JB","BOS","13"
"B6","02/28/2022","1882","N589JB","JFK","22"
"B6","03/01/2022","1882","N804JB","JFK","0"
"B6","03/02/2022","1882","N766JB","JFK","-15"
"B6","03/03/2022","0932","N3008J","BOS","2"
"B6","03/03/2022","1882","N794JB","JFK","-17"
"B6","03/04/2022","0932","N3077J","BOS","-12"
"B6","03/04/2022","1882","N794JB","JFK","35"
"B6","03/05/2022","0932","N3058J","BOS","-7"
"B6","03/05/2022","1882","N789JB","JFK","0"
"B6","03/06/2022","0932","N368JB","BOS","-4"
"B6","03/06/2022","1882","N535JB","JFK","37"
"B6","03/07/2022","0932","N3058J","BOS","0"
"B6","03/07/2022","1882","N618JB","JFK","-10"
"B6","03/08/2022","1882","N633JB","JFK","14"
"B6","03/09/2022","1882","N661JB","JFK","34"
"B6","03/10/2022","0932","N3062J","BOS","1"
"B6","03/10/2022","1882","N715JB","JFK","69"
"B6","03/11/2022","0932","N3044J","BOS","2"
"B6","03/11/2022","1882","N564JB","JFK","58"
"B6","03/12/2022","0932","N3044J","BOS","153"
"B6","03/12/2022","1882","N526JL","JFK","-1"
"B6","03/13/2022","0932","N3058J","BOS","100"
"B6","03/13/2022","1882","N590JB","JFK","12"
"B6","03/14/2022","0932","N3044J","BOS","-7"
"B6","03/14/2022","1882","N712JB","JFK","69"
"B6","03/15/2022","1882","N568JB","JFK","-3"
"B6","03/16/2022","1882","N526JL","JFK","52"
"B6","03/17/2022","0932","N3023J","BOS","0"
"B6","03/17/2022","1882","N527JL","JFK","26"
"B6","03/18/2022","0932","N3062J","BOS","55"
"B6","03/18/2022","1882","N712JB","JFK","63"
"B6","03/19/2022","0932","N3023J","BOS","93"
"B6","03/19/2022","1882","N589JB","JFK","106"
"B6","03/20/2022","0932","N228JB","BOS","-5"
"B6","03/20/2022","1882","N651JB","JFK","1"
"B6","03/21/2022","0932","N3065J","BOS","-6"
"B6","03/21/2022","1882","N662JB","JFK","23"
"B6","03/22/2022","1882","N579JB","JFK","0"
"B6","03/23/2022","1882","N559JB","JFK","6"
"B6","03/24/2022","0932","N3058J","BOS","29"
"B6","03/24/2022","1882","N586JB","JFK","81"
"B6","03/25/2022","0932","N3062J","BOS","188"
"B6","03/25/2022","1882","N509JB","JFK","16"
"B6","03/26/2022","0932","N3062J","BOS","-4"
"B6","03/26/2022","1882","N570JB","JFK","52"
"B6","03/27/2022","0932","N355JB","BOS","-7"
"B6","03/27/2022","1882","N334JB","JFK","-5"
"B6","03/28/2022","0932","N523JB","BOS","43"
"B6","03/28/2022","1882","N238JB","JFK","-2"
"B6","03/29/2022","1882","N239JB","JFK","10"
"B6","03/30/2022","1882","N296JB","JFK","15"
"B6","03/31/2022","0932","N579JB","BOS","24"
"B6","03/31/2022","1882","N249JB","JFK","110"
"B6","04/01/2022","0932","N648JB","BOS","0"
"B6","04/01/2022","1882","N258JB","JFK","43"
"B6","04/02/2022","0932","N3058J","BOS","3"
"B6","04/02/2022","1882","N339JB","JFK","0"
"B6","04/03/2022","0932","N3065J","BOS","23"
"B6","04/03/2022","1882","N351JB","JFK","-1"
"B6","04/04/2022","0932","N3023J","BOS","33"
"B6","04/04/2022","1882","N238JB","JFK","12"
"B6","04/05/2022","0932","N3062J","BOS","33"
"B6","04/05/2022","1882","N284JB","JFK","824"
"B6","04/06/2022","0932","N579JB","BOS","5"
"B6","04/06/2022","1882","N298JB","JFK","63"
"B6","04/07/2022","0932","N521JB","BOS","124"
"B6","04/07/2022","1882","N193JB","JFK","63"
"B6","04/08/2022","0932","N621JB","BOS","14"
"B6","04/08/2022","1882","N187JB","JFK","0"
"B6","04/09/2022","0932","N579JB","BOS","-2"
"B6","04/09/2022","1882","N192JB","JFK","0"
"B6","04/10/2022","0932","N187JB","BOS","-14"
"B6","04/10/2022","1882","N192JB","JFK","110"
"B6","04/11/2022","0932","N3058J","BOS","7"
"B6","04/11/2022","1882","N351JB","JFK","50"
"B6","04/12/2022","0932","N3077J","BOS","0"
"B6","04/12/2022","1882","N309JB","JFK","146"
