Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Southwest Airlines Co. (WN)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"WN","01/01/2022","0508","N7869A","TPA","20"
"WN","01/01/2022","1383","N8618N","DAL","0"
"WN","01/01/2022","1475","N7873A","DEN","39"
"WN","01/01/2022","1801","N737JW","DAL","10"
"WN","01/01/2022","2100","N7829B","LAS","0"
"WN","01/01/2022","2215","N499WN","MSY","0"
"WN","01/01/2022","2717","N725SW","MDW","0"
"WN","01/01/2022","2795","N7876A","PHX","-5"
"WN","01/01/2022","2812","N281WN","MCO","-1"
"WN","01/01/2022","3047","N277WN","MSY","-2"
"WN","01/01/2022","3107","N8692F","BNA","1"
"WN","01/01/2022","3113","N7842A","DEN","9"
"WN","01/01/2022","3115","N254WN","MCO","-4"
"WN","01/01/2022","3144","N7884G","BNA","61"
"WN","01/01/2022","3410","","MDW","0"
"WN","01/01/2022","3415","N424WN","DEN","83"
"WN","01/01/2022","3585","","DAL","0"
"WN","01/01/2022","3592","N441WN","DAL","-2"
"WN","01/01/2022","3805","N481WN","PHX","37"
"WN","01/01/2022","3826","N484WN","DAL","-5"
"WN","01/02/2022","0236","N728SW","LAS","42"
"WN","01/02/2022","0300","N7877H","BNA","0"
"WN","01/02/2022","0373","N432WN","DAL","161"
"WN","01/02/2022","0416","N7875A","DEN","33"
"WN","01/02/2022","0456","N929WN","MDW","66"
"WN","01/02/2022","0670","N762SW","DAL","9"
"WN","01/02/2022","0784","N8501V","MSY","78"
"WN","01/02/2022","1168","N8652B","BNA","6"
"WN","01/02/2022","1182","N478WN","MSY","54"
"WN","01/02/2022","1212","N924WN","MCO","25"
"WN","01/02/2022","1229","N725SW","DEN","3"
"WN","01/02/2022","1432","N212WN","DAL","1"
"WN","01/02/2022","1440","N7851A","BNA","115"
"WN","01/02/2022","1469","N7751A","MDW","16"
"WN","01/02/2022","1620","N7877H","DAL","-1"
"WN","01/02/2022","1912","N744SW","DAL","52"
"WN","01/02/2022","2361","N781WN","DEN","54"
"WN","01/02/2022","2483","N7850B","MSY","1"
"WN","01/02/2022","2504","N226WN","DAL","110"
"WN","01/02/2022","2509","N926WN","MSY","33"
"WN","01/03/2022","0236","N7857B","LAS","35"
"WN","01/03/2022","0300","N206WN","BNA","16"
"WN","01/03/2022","0373","N7829B","DAL","38"
"WN","01/03/2022","0416","N425LV","DEN","83"
"WN","01/03/2022","0456","N267WN","MDW","72"
"WN","01/03/2022","0670","N7860A","DAL","-1"
"WN","01/03/2022","0784","N8812Q","MSY","80"
"WN","01/03/2022","1168","N8620H","BNA","6"
"WN","01/03/2022","1182","","MSY","0"
"WN","01/03/2022","1212","N7813P","MCO","7"
"WN","01/03/2022","1229","","DEN","0"
"WN","01/03/2022","1432","N444WN","DAL","-3"
"WN","01/03/2022","1440","N228WN","BNA","27"
"WN","01/03/2022","1469","N7881A","MDW","41"
"WN","01/03/2022","1620","N901WN","DAL","49"
"WN","01/03/2022","1912","N292WN","DAL","15"
"WN","01/03/2022","2361","N251WN","DEN","0"
"WN","01/03/2022","2483","N908WN","MSY","-4"
"WN","01/03/2022","2504","N261WN","DAL","103"
"WN","01/03/2022","2509","N736SA","MSY","22"
"WN","01/04/2022","0100","N215WN","DEN","-3"
"WN","01/04/2022","0597","N7736A","MSY","1"
"WN","01/04/2022","1757","N8726H","MDW","0"
"WN","01/04/2022","1910","N8544Z","DAL","-4"
"WN","01/04/2022","1937","N734SA","BNA","31"
"WN","01/04/2022","1979","N906WN","LAS","26"
"WN","01/04/2022","3055","N936WN","DAL","0"
"WN","01/04/2022","3094","N8626B","MCO","20"
"WN","01/04/2022","3442","N254WN","MSY","14"
"WN","01/04/2022","3619","N8541W","MSY","0"
"WN","01/04/2022","4080","N439WN","MSY","0"
"WN","01/04/2022","4141","N8669B","BNA","19"
"WN","01/04/2022","4456","N450WN","BNA","1"
"WN","01/04/2022","4669","N7879A","DEN","38"
"WN","01/04/2022","4819","N235WN","DAL","0"
"WN","01/04/2022","5019","N8711Q","DEN","-3"
"WN","01/04/2022","5251","N8668A","DAL","9"
"WN","01/04/2022","6102","N7735A","DAL","55"
"WN","01/05/2022","0100","N765SW","DEN","-1"
"WN","01/05/2022","0597","N472WN","MSY","13"
"WN","01/05/2022","1757","N8527Q","MDW","5"
"WN","01/05/2022","1910","N8542Z","DAL","-5"
"WN","01/05/2022","1937","N7876A","BNA","-4"
"WN","01/05/2022","1979","N906WN","LAS","20"
"WN","01/05/2022","3055","N7879A","DAL","-3"
"WN","01/05/2022","3094","N8551Q","MCO","95"
"WN","01/05/2022","3442","N564WN","MSY","132"
"WN","01/05/2022","3619","N8813Q","MSY","3"
"WN","01/05/2022","4080","N961WN","MSY","-8"
"WN","01/05/2022","4141","N8615E","BNA","1"
"WN","01/05/2022","4456","N271LV","BNA","-6"
"WN","01/05/2022","4669","N442WN","DEN","0"
"WN","01/05/2022","4819","N290WN","DAL","6"
"WN","01/05/2022","5019","N8541W","DEN","-2"
"WN","01/05/2022","5251","N8611F","DAL","0"
"WN","01/05/2022","6102","N297WN","DAL","7"
"WN","01/06/2022","0100","N781WN","DEN","-1"
"WN","01/06/2022","0597","N213WN","MSY","0"
"WN","01/06/2022","1757","N8619F","MDW","1"
"WN","01/06/2022","1910","N8628A","DAL","-4"
"WN","01/06/2022","1937","N725SW","BNA","0"
"WN","01/06/2022","1979","N776WN","LAS","0"
"WN","01/06/2022","3055","N221WN","DAL","46"
"WN","01/06/2022","3094","N8641B","MCO","260"
"WN","01/06/2022","3442","N401WN","MSY","1"
"WN","01/06/2022","3619","N8603F","MSY","0"
"WN","01/06/2022","4080","N456WN","MSY","0"
"WN","01/06/2022","4141","N8540V","BNA","23"
"WN","01/06/2022","4456","N221WN","BNA","0"
"WN","01/06/2022","4669","","DEN","0"
"WN","01/06/2022","4819","N491WN","DAL","8"
"WN","01/06/2022","5019","N8617E","DEN","-1"
"WN","01/06/2022","5251","N284WN","DAL","-3"
"WN","01/06/2022","6102","N272WN","DAL","-6"
"WN","01/07/2022","0100","N7876A","DEN","18"
"WN","01/07/2022","0597","N760SW","MSY","9"
"WN","01/07/2022","1757","N8678E","MDW","22"
"WN","01/07/2022","1910","N8553W","DAL","17"
"WN","01/07/2022","1937","N7860A","BNA","30"
"WN","01/07/2022","1979","N420WN","LAS","0"
"WN","01/07/2022","3055","","DAL","0"
"WN","01/07/2022","3094","N8691A","MCO","39"
"WN","01/07/2022","3442","N260WN","MSY","19"
"WN","01/07/2022","3619","N8616C","MSY","6"
"WN","01/07/2022","4080","N254WN","MSY","0"
"WN","01/07/2022","4141","N8578Q","BNA","24"
"WN","01/07/2022","4456","","BNA","0"
"WN","01/07/2022","4669","N7745A","DEN","0"
