Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: United Airlines Inc. (UA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"UA","01/01/2022","0253","N77006","HNL","24"
"UA","01/01/2022","0303","N27477","FLL","117"
"UA","01/01/2022","0335","N68823","SJU","480"
"UA","01/01/2022","0355","N33203","SMF","-2"
"UA","01/01/2022","0375","N77538","FLL","-1"
"UA","01/01/2022","0413","N37257","MCO","-4"
"UA","01/01/2022","0441","N54241","FLL","41"
"UA","01/01/2022","0445","N68836","CLE","-7"
"UA","01/01/2022","0468","N32404","AUS","-4"
"UA","01/01/2022","0469","","ORD","0"
"UA","01/01/2022","0471","N38424","IAD","1"
"UA","01/01/2022","0503","","ORD","0"
"UA","01/01/2022","0543","N69824","MCO","-2"
"UA","01/01/2022","0557","N24715","EWR","3"
"UA","01/01/2022","0580","N36444","RSW","34"
"UA","01/01/2022","0581","N893UA","MIA","9"
"UA","01/01/2022","0678","N17104","DEN","239"
"UA","01/01/2022","0701","N655UA","SJU","124"
"UA","01/01/2022","0704","","EWR","0"
"UA","01/01/2022","0714","N75410","SEA","75"
"UA","01/01/2022","0725","N38727","EGE","259"
"UA","01/01/2022","0729","N418UA","ABQ","39"
"UA","01/01/2022","0736","N14731","LAX","5"
"UA","01/01/2022","0740","N77296","DCA","77"
"UA","01/01/2022","0765","N420UA","PHX","-1"
"UA","01/01/2022","0776","N33294","BOS","14"
"UA","01/01/2022","0779","N76265","ORD","7"
"UA","01/01/2022","0780","N410UA","DFW","5"
"UA","01/01/2022","0785","N57857","DEN","1"
"UA","01/01/2022","0791","N24973","SFO","3"
"UA","01/01/2022","0799","N39463","PHL","60"
"UA","01/01/2022","1049","N871UA","SJC","7"
"UA","01/01/2022","1062","N27477","AUS","50"
"UA","01/01/2022","1068","N17245","LAX","-4"
"UA","01/01/2022","1086","","DEN","0"
"UA","01/01/2022","1097","N451UA","MFE","11"
"UA","01/01/2022","1112","N68822","LAS","-1"
"UA","01/01/2022","1124","N827UA","ORF","51"
"UA","01/01/2022","1148","N824UA","DFW","11"
"UA","01/01/2022","1151","N69819","TPA","-3"
"UA","01/01/2022","1180","N644UA","SFO","67"
"UA","01/01/2022","1183","N37290","LAX","19"
"UA","01/01/2022","1186","N427UA","RSW","31"
"UA","01/01/2022","1192","N36469","SJU","10"
"UA","01/01/2022","1195","N39450","IAD","28"
"UA","01/01/2022","1208","N27511","EWR","-1"
"UA","01/01/2022","1218","N467UA","PHX","-1"
"UA","01/01/2022","1240","N415UA","RNO","25"
"UA","01/01/2022","1252","N808UA","LAS","-5"
"UA","01/01/2022","1253","N38446","MSY","16"
"UA","01/01/2022","1259","N14735","SNA","1"
"UA","01/01/2022","1274","N13718","SMF","19"
"UA","01/01/2022","1289","N37474","SEA","-1"
"UA","01/01/2022","1294","N896UA","DCA","5"
"UA","01/01/2022","1296","N27526","DEN","2"
"UA","01/01/2022","1298","N490UA","PHX","-5"
"UA","01/01/2022","1403","N69816","LAS","46"
"UA","01/01/2022","1440","N412UA","LAS","56"
"UA","01/01/2022","1469","N453UA","BNA","-5"
"UA","01/01/2022","1492","N401UA","BOS","25"
"UA","01/01/2022","1493","N37523","DEN","309"
"UA","01/01/2022","1498","N81449","AUS","90"
"UA","01/01/2022","1504","N16709","OMA","5"
"UA","01/01/2022","1524","N651UA","EWR","8"
"UA","01/01/2022","1527","N39416","PIT","15"
"UA","01/01/2022","1531","N882UA","AUS","16"
"UA","01/01/2022","1536","N38451","EWR","2"
"UA","01/01/2022","1552","N13716","ONT","31"
"UA","01/01/2022","1571","N77430","EWR","29"
"UA","01/01/2022","1578","N75432","LAX","20"
"UA","01/01/2022","1580","N87512","SAN","18"
"UA","01/01/2022","1583","N37257","EWR","22"
"UA","01/01/2022","1600","N66814","SAN","2"
"UA","01/01/2022","1623","N76526","RSW","-3"
"UA","01/01/2022","1627","N27421","DEN","23"
"UA","01/01/2022","1631","","SAN","0"
"UA","01/01/2022","1634","N490UA","BWI","33"
"UA","01/01/2022","1646","N839UA","LAS","0"
"UA","01/01/2022","1649","N77431","DEN","135"
"UA","01/01/2022","1652","N812UA","PNS","242"
"UA","01/01/2022","1673","N68802","DEN","34"
"UA","01/01/2022","1678","N16217","SLC","0"
"UA","01/01/2022","1686","N409UA","IAD","78"
"UA","01/01/2022","1745","N876UA","SJC","-2"
"UA","01/01/2022","1759","N405UA","SEA","8"
"UA","01/01/2022","1764","N38467","CLE","-2"
"UA","01/01/2022","1777","N66897","EWR","52"
"UA","01/01/2022","1778","N23708","AUS","20"
"UA","01/01/2022","1813","N37530","LAX","81"
"UA","01/01/2022","1844","N647UA","IAD","-4"
"UA","01/01/2022","1853","N67845","SFO","2"
"UA","01/01/2022","1873","N404UA","TPA","-1"
"UA","01/01/2022","1877","N37522","LAX","5"
"UA","01/01/2022","1895","N445UA","PHX","-4"
"UA","01/01/2022","1899","N76504","ORD","1"
"UA","01/01/2022","1905","N72405","MIA","206"
"UA","01/01/2022","1908","N17752","STT","11"
"UA","01/01/2022","1911","N447UA","ATL","-1"
"UA","01/01/2022","1912","N68822","SAT","58"
"UA","01/01/2022","1973","N23708","JAC","19"
"UA","01/01/2022","1976","N404UA","PBI","40"
"UA","01/01/2022","1989","N75854","ORD","39"
"UA","01/01/2022","2034","N37253","SFO","0"
"UA","01/01/2022","2071","N401UA","SNA","-3"
"UA","01/01/2022","2076","N73283","DEN","1"
"UA","01/01/2022","2085","N37527","LAX","13"
"UA","01/01/2022","2094","N839UA","LGA","8"
"UA","01/01/2022","2102","N66828","PDX","9"
"UA","01/01/2022","2111","N76517","LGA","0"
"UA","01/01/2022","2140","N37427","SFO","18"
"UA","01/01/2022","2194","N12238","DEN","44"
"UA","01/01/2022","2201","N14230","TUL","52"
"UA","01/01/2022","2205","N644UA","LAX","13"
"UA","01/01/2022","2241","N897UA","TPA","9"
"UA","01/01/2022","2243","N76054","ORD","40"
"UA","01/01/2022","2263","N26208","ORD","97"
"UA","01/01/2022","2289","N37420","TPA","39"
"UA","01/01/2022","2291","N641UA","MCO","5"
"UA","01/01/2022","2296","N69885","SAT","7"
"UA","01/01/2022","2357","N27724","MSY","-2"
"UA","01/01/2022","2358","N75410","SAN","78"
"UA","01/01/2022","2365","N827UA","HDN","-7"
"UA","01/01/2022","2382","N409UA","FLL","41"
"UA","01/01/2022","2420","","ORD","0"
"UA","01/01/2022","2426","N16709","BOS","-2"
"UA","01/01/2022","2442","N72405","FLL","-6"
"UA","01/01/2022","2494","N66051","EWR","111"
"UA","01/01/2022","2496","N32404","MCO","-6"
"UA","01/01/2022","2607","N418UA","SAT","-2"
"UA","01/01/2022","2610","N660UA","IAD","12"
"UA","01/01/2022","2621","N33203","SFO","58"
"UA","01/01/2022","2626","N17233","SFO","4"
"UA","01/01/2022","2633","N77520","PDX","0"
"UA","01/01/2022","2653","N68834","ORD","18"
"UA","01/01/2022","2658","N654UA","MCO","-6"
"UA","01/01/2022","2660","N76517","SNA","13"
"UA","01/01/2022","2683","N13716","MSY","13"
"UA","01/02/2022","0253","N74007","HNL","14"
"UA","01/02/2022","0303","N69810","FLL","57"
"UA","01/02/2022","0335","N61882","SJU","-2"
"UA","01/02/2022","0355","N13716","SMF","4"
"UA","01/02/2022","0375","N76269","FLL","60"
"UA","01/02/2022","0413","N33294","MCO","72"
"UA","01/02/2022","0441","N37465","FLL","58"
"UA","01/02/2022","0445","N17233","CLE","42"
"UA","01/02/2022","0468","N72405","AUS","22"
"UA","01/02/2022","0469","N56859","ORD","49"
"UA","01/02/2022","0471","N27724","IAD","4"
"UA","01/02/2022","0503","N76054","ORD","6"
"UA","01/02/2022","0543","N38454","MCO","28"
"UA","01/02/2022","0557","N27260","EWR","33"
"UA","01/02/2022","0580","N69818","RSW","47"
"UA","01/02/2022","0581","N815UA","MIA","23"
"UA","01/02/2022","0631","N415UA","SEA","-1"
"UA","01/02/2022","0678","N12109","DEN","17"
"UA","01/02/2022","0701","N641UA","SJU","13"
"UA","01/02/2022","0704","N34137","EWR","12"
"UA","01/02/2022","0714","N37437","SEA","32"
"UA","01/02/2022","0725","N24736","EGE","57"
"UA","01/02/2022","0729","N15712","ABQ","1"
"UA","01/02/2022","0736","N66837","LAX","17"
"UA","01/02/2022","0740","","DCA","0"
"UA","01/02/2022","0765","N37420","PHX","15"
"UA","01/02/2022","0776","N69829","BOS","109"
"UA","01/02/2022","0779","N14106","ORD","10"
"UA","01/02/2022","0780","N441UA","DFW","-2"
"UA","01/02/2022","0785","N57864","DEN","2"
"UA","01/02/2022","0791","N27958","SFO","0"
"UA","01/02/2022","0799","N62849","PHL","30"
"UA","01/02/2022","1049","N822UA","SJC","0"
"UA","01/02/2022","1062","N14230","AUS","22"
"UA","01/02/2022","1068","N75861","LAX","39"
"UA","01/02/2022","1086","N76265","DEN","10"
"UA","01/02/2022","1097","N872UA","MFE","43"
"UA","01/02/2022","1112","N76265","LAS","47"
"UA","01/02/2022","1124","N69847","ORF","16"
"UA","01/02/2022","1148","N812UA","DFW","5"
"UA","01/02/2022","1151","N76517","TPA","8"
"UA","01/02/2022","1180","N66837","SFO","50"
"UA","01/02/2022","1183","N36272","LAX","24"
"UA","01/02/2022","1186","N404UA","RSW","1"
"UA","01/02/2022","1192","N38446","SJU","11"
"UA","01/02/2022","1195","N68836","IAD","59"
"UA","01/02/2022","1208","N27515","EWR","-5"
"UA","01/02/2022","1218","N497UA","PHX","1"
"UA","01/02/2022","1236","N17730","JAC","5"
"UA","01/02/2022","1240","N889UA","RNO","19"
"UA","01/02/2022","1252","N423UA","LAS","18"
"UA","01/02/2022","1253","N13720","MSY","-2"
"UA","01/02/2022","1259","N16709","SNA","8"
"UA","01/02/2022","1274","N77431","SMF","6"
"UA","01/02/2022","1289","N13718","SEA","-2"
"UA","01/02/2022","1294","N16701","DCA","29"
"UA","01/02/2022","1296","N876UA","DEN","1"
"UA","01/02/2022","1298","N411UA","PHX","1"
"UA","01/02/2022","1403","N32404","LAS","21"
"UA","01/02/2022","1407","N77518","LAS","0"
"UA","01/02/2022","1440","N17753","LAS","11"
"UA","01/02/2022","1449","N24211","DCA","33"
"UA","01/02/2022","1469","N483UA","BNA","16"
"UA","01/02/2022","1492","N833UA","BOS","14"
"UA","01/02/2022","1493","N47414","DEN","14"
"UA","01/02/2022","1498","N39450","AUS","74"
"UA","01/02/2022","1501","N436UA","LGA","29"
"UA","01/02/2022","1504","N65832","OMA","83"
"UA","01/02/2022","1515","N37437","PIT","20"
"UA","01/02/2022","1524","N642UA","EWR","0"
"UA","01/02/2022","1527","N419UA","PIT","142"
"UA","01/02/2022","1531","N816UA","AUS","5"
"UA","01/02/2022","1536","N27477","EWR","-1"
"UA","01/02/2022","1552","N490UA","ONT","4"
"UA","01/02/2022","1571","N37413","EWR","-1"
"UA","01/02/2022","1573","N436UA","LGA","2"
"UA","01/02/2022","1578","N27526","LAX","32"
"UA","01/02/2022","1583","","EWR","0"
"UA","01/02/2022","1600","N37293","SAN","1"
"UA","01/02/2022","1623","N77535","RSW","7"
"UA","01/02/2022","1627","N37528","DEN","30"
"UA","01/02/2022","1631","N39416","SAN","33"
"UA","01/02/2022","1634","N428UA","BWI","69"
"UA","01/02/2022","1646","N833UA","LAS","5"
"UA","01/02/2022","1649","N47517","DEN","16"
"UA","01/02/2022","1652","N871UA","PNS","1"
"UA","01/02/2022","1678","N33289","SLC","3"
"UA","01/02/2022","1686","N469UA","IAD","27"
"UA","01/02/2022","1745","N876UA","SJC","-2"
"UA","01/02/2022","1759","N421UA","SEA","49"
"UA","01/02/2022","1764","N38467","CLE","19"
"UA","01/02/2022","1777","N13716","EWR","83"
"UA","01/02/2022","1778","N68891","AUS","16"
"UA","01/02/2022","1798","N13248","PHX","21"
"UA","01/02/2022","1813","N67815","LAX","7"
"UA","01/02/2022","1844","N656UA","IAD","7"
"UA","01/02/2022","1853","N67827","SFO","50"
"UA","01/02/2022","1871","N15751","PHL","1"
"UA","01/02/2022","1873","N16217","TPA","18"
"UA","01/02/2022","1877","N76288","LAX","6"
"UA","01/02/2022","1895","N409UA","PHX","31"
"UA","01/02/2022","1899","N14235","ORD","1"
"UA","01/02/2022","1905","N68452","MIA","2"
"UA","01/02/2022","1908","N23721","STT","40"
"UA","01/02/2022","1911","N63899","ATL","-6"
"UA","01/02/2022","1912","N66893","SAT","36"
"UA","01/02/2022","1976","N415UA","PBI","30"
"UA","01/02/2022","1989","","ORD","0"
"UA","01/02/2022","2009","N654UA","MCO","11"
"UA","01/02/2022","2012","N78501","MIA","4"
"UA","01/02/2022","2034","N447UA","SFO","19"
"UA","01/02/2022","2060","N57439","SFO","4"
