year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,4,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023,4,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",556.00,180.00,46.32,5.60,60.39,0.05,67.64,15.00,3.00,13146.00,3191.00,757.00,3335.00,1.00,5862.00
2023,4,AS,Alaska Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",58.00,21.00,4.60,0.00,12.73,1.39,2.29,0.00,1.00,602.00,183.00,0.00,348.00,31.00,40.00
2023,4,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",63.00,19.00,9.75,0.00,6.01,0.00,3.23,0.00,1.00,873.00,483.00,0.00,190.00,0.00,200.00
2023,4,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",675.00,167.00,66.05,2.00,72.29,0.54,26.12,20.00,6.00,10983.00,5750.00,355.00,2879.00,65.00,1934.00
2023,4,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",98.00,46.00,14.05,1.31,16.59,0.00,14.04,0.00,0.00,3377.00,828.00,256.00,895.00,0.00,1398.00
2023,4,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",8.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00,0.00,0.00
2023,4,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",657.00,237.00,71.57,6.71,105.50,2.77,50.45,14.00,0.00,19421.00,5270.00,606.00,8496.00,179.00,4870.00
2023,4,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",809.00,178.00,127.00,11.00,6.00,0.00,34.00,8.00,8.00,15028.00,8677.00,1876.00,875.00,0.00,3600.00
2023,4,UA,United Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",5267.00,1234.00,323.99,32.10,540.57,0.00,337.34,74.00,22.00,88482.00,26053.00,3589.00,23807.00,0.00,35033.00
2023,4,WN,Southwest Airlines Co.,IAH,"Houston, TX: George Bush Intercontinental/Houston",505.00,146.00,36.16,1.99,48.84,1.83,57.18,7.00,1.00,8097.00,1698.00,146.00,2484.00,55.00,3714.00
