Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"AA","01/01/2022","0324","N987AN","MIA","-9"
"AA","01/01/2022","0387","N122US","ORD","-4"
"AA","01/01/2022","1461","N329SL","MIA","-12"
"AA","01/01/2022","1465","N885NN","MIA","108"
"AA","01/01/2022","1472","N817AW","DFW","-6"
"AA","01/01/2022","1474","N910AU","DFW","4"
"AA","01/01/2022","1478","N669AW","CLT","-7"
"AA","01/01/2022","2011","N980AN","CLT","-6"
"AA","01/01/2022","2438","N926NN","DFW","13"
"AA","01/01/2022","2668","N945AN","DFW","-1"
"AA","01/01/2022","2944","N808AW","LGA","-3"
"AA","01/02/2022","0324","N981AN","MIA","-9"
"AA","01/02/2022","1224","N122US","ORD","-4"
"AA","01/02/2022","1461","N922NN","MIA","-7"
"AA","01/02/2022","1462","N305NX","CLT","6"
"AA","01/02/2022","1465","N960NN","MIA","-5"
"AA","01/02/2022","1472","N817AW","DFW","8"
"AA","01/02/2022","1474","N562UW","DFW","121"
"AA","01/02/2022","1478","N556UW","CLT","273"
"AA","01/02/2022","2011","N524UW","CLT","0"
"AA","01/02/2022","2420","N828AW","DFW","197"
"AA","01/02/2022","2438","N955AN","DFW","-5"
"AA","01/02/2022","2551","N143AN","DFW","1"
"AA","01/02/2022","2668","N840NN","DFW","-3"
"AA","01/02/2022","2944","N812AW","LGA","-5"
"AA","01/03/2022","0324","N971NN","MIA","-5"
"AA","01/03/2022","1224","N103US","ORD","-6"
"AA","01/03/2022","1461","N873NN","MIA","176"
"AA","01/03/2022","1462","N881NN","CLT","0"
"AA","01/03/2022","1465","N883NN","MIA","-5"
"AA","01/03/2022","1472","N771XF","DFW","-3"
"AA","01/03/2022","1474","N141NN","DFW","-5"
"AA","01/03/2022","1478","N700UW","CLT","66"
"AA","01/03/2022","2011","N923US","CLT","-4"
"AA","01/03/2022","2420","N805AW","DFW","46"
"AA","01/03/2022","2438","N967AN","DFW","-5"
"AA","01/03/2022","2551","N155NN","DFW","-7"
"AA","01/03/2022","2668","N970AN","DFW","0"
"AA","01/03/2022","2944","N832AW","LGA","0"
"AA","01/04/2022","0324","N313SB","MIA","-2"
"AA","01/04/2022","0360","N766US","LGA","-11"
"AA","01/04/2022","1224","N976NN","ORD","0"
"AA","01/04/2022","1347","N902AA","MIA","-4"
"AA","01/04/2022","1354","N741UW","PHL","-1"
"AA","01/04/2022","1462","N567UW","CLT","0"
"AA","01/04/2022","1472","N921NN","DFW","0"
"AA","01/04/2022","1474","N927NN","DFW","-5"
"AA","01/04/2022","1478","N806NN","CLT","-1"
"AA","01/04/2022","1953","N847NN","MIA","-6"
"AA","01/04/2022","2011","N551UW","CLT","-4"
"AA","01/04/2022","2038","N110UW","PHL","-3"
"AA","01/04/2022","2438","N805AW","DFW","-3"
"AA","01/04/2022","2444","N557UW","DFW","0"
"AA","01/04/2022","2551","N837NN","DFW","-7"
"AA","01/05/2022","0324","N807NN","MIA","-5"
"AA","01/05/2022","0360","N768US","LGA","17"
"AA","01/05/2022","1224","N856NN","ORD","22"
"AA","01/05/2022","1347","N148AN","MIA","-8"
"AA","01/05/2022","1354","N738US","PHL","-10"
"AA","01/05/2022","1462","N587UW","CLT","3"
"AA","01/05/2022","1465","N90024","MIA","3"
"AA","01/05/2022","1472","N979NN","DFW","-3"
"AA","01/05/2022","1474","N959NN","DFW","5"
"AA","01/05/2022","1478","N843NN","CLT","10"
"AA","01/05/2022","1953","N866NN","MIA","-7"
"AA","01/05/2022","2011","N534UW","CLT","0"
"AA","01/05/2022","2438","N809NN","DFW","-8"
"AA","01/05/2022","2444","N825AW","DFW","0"
"AA","01/05/2022","2551","N940AN","DFW","5"
"AA","01/05/2022","2668","N563UW","DFW","-1"
"AA","01/06/2022","0324","N922AN","MIA","-13"
"AA","01/06/2022","0360","N772XF","LGA","-10"
"AA","01/06/2022","1224","N973NN","ORD","-11"
"AA","01/06/2022","1347","N997AA","MIA","-6"
"AA","01/06/2022","1354","N539UW","PHL","120"
"AA","01/06/2022","1462","N583UW","CLT","-9"
"AA","01/06/2022","1465","N9012","MIA","-6"
"AA","01/06/2022","1472","N985NN","DFW","72"
"AA","01/06/2022","1474","N865NN","DFW","-3"
"AA","01/06/2022","1478","N965AN","CLT","-2"
"AA","01/06/2022","1804","N803NN","CLT","-11"
"AA","01/06/2022","1953","N982AN","MIA","-11"
"AA","01/06/2022","2011","N974UY","CLT","-9"
"AA","01/06/2022","2438","N939NN","DFW","-10"
"AA","01/06/2022","2444","N838AW","DFW","-3"
"AA","01/06/2022","2551","N933NN","DFW","-5"
"AA","01/06/2022","2668","N567UW","DFW","-5"
"AA","01/07/2022","0324","N858NN","MIA","-9"
"AA","01/07/2022","0360","N803AW","LGA","-10"
"AA","01/07/2022","1224","N863NN","ORD","-8"
"AA","01/07/2022","1347","N987AM","MIA","-2"
"AA","01/07/2022","1354","N110UW","PHL","-13"
"AA","01/07/2022","1462","N519UW","CLT","-9"
"AA","01/07/2022","1465","N712US","MIA","-4"
"AA","01/07/2022","1472","N895NN","DFW","-7"
"AA","01/07/2022","1474","N962AN","DFW","17"
"AA","01/07/2022","1478","N961AN","CLT","-8"
