,Airport Code,Airport Name,City,State,Lat,Long,Hotel Name,Hotel Address
0,MIA,Miami International Airport,Miami,Florida,25.795864,-80.28705,Miami International Airport Hotel,"2100 Northwest 42nd Avenue, Miami, FL 33142, United States of America"
1,DFW,Dallas/Fort Worth International Airport,DFW Airport,Texas,32.89981,-97.04034,Hyatt Regency DFW International Airport,"2334 Terminal C, Grapevine, TX 75261, United States of America"
2,JFK,John F. Kennedy International Airport,,New York,40.64131,-73.77814,TWA Hotel,"1 Idlewild Drive, New York, NY 11430, United States of America"
3,CLT,Charlotte Douglas International Airport,Charlotte,North Carolina,35.2144,-80.94731,,
4,PHX,Phoenix Sky Harbor International Airport,Phoenix,Arizona,33.437267,-112.00779,SureStay Hotel by Best Western,"3037 East Van Buren Street, Phoenix, AZ 85008, United States of America"
5,PHL,Philadelphia International Airport,Philadelphia,Pennsylvania,39.874397,-75.242424,Philadelphia Airport Marriott,"PA 291, Philadelphia, PA 19153, United States of America"
6,ORD,O'Hare International Airport,Chicago,Illinois,41.974163,-87.90732,Hilton Chicago O'Hare Airport,"O'Hare Commercial Departure, Chicago, IL 60666, United States of America"
7,LAX,Los Angeles International Airport,Los Angeles,California,33.94159,-118.40853,Hyatt Regency Los Angeles International Airport,"6225 West Century Boulevard, Los Angeles, CA 90045, United States of America"
8,LGA,LaGuardia Airport,New York,New York,40.776928,-73.87396,Clarion Hotel,"95th Street, New York, NY 11369, United States of America"
9,BOS,Logan International Airport,Boston,Massachusetts,42.365612,-71.00956,Hilton Boston Logan Airport,"1 Hotel Drive, Boston, MA 02128, United States of America"
10,TPA,Tampa International Airport,Tampa,Florida,27.983479,-82.53708,Tampa Airport Marriott,"4200 George J. Bean Parkway, Tampa, FL 33634, United States of America"
11,DAL,Dallas Love Field,Dallas,Texas,32.848103,-96.851204,Embassy Suites,"West Northwest Highway, Dallas, TX 75220, United States of America"
12,DEN,Denver International Airport,Denver,Colorado,39.8561,-104.67374,The Westin Denver International Airport,"8300 Peña Boulevard, Denver, CO 80249, United States of America"
13,LAS,McCarran International Airport,Las Vegas,Nevada,36.084,-115.15374,Best Western McCarran Inn,"4970 Paradise Road, Las Vegas, NV 89119, United States of America"
14,MSY,Louis Armstrong New Orleans International Airport,Kenner,Louisiana,29.9922,-90.25901,Hilton New Orleans Airport,"901 Airline Drive, Kenner, LA 70062, United States of America"
15,MDW,Midway International Airport,Chicago,Illinois,41.786777,-87.75219,Hilton Garden Inn Chicago/Midway Airport,"6530 South Cicero Avenue, Bedford Park, IL 60638, United States of America"
16,MCO,Orlando International Airport,Orlando,Florida,28.431158,-81.30808,Hyatt Regency Orlando International Airport,"To Airside 4 (Center), Orlando, FL 32827, United States of America"
17,BNA,Nashville International Airport,Nashville,Tennessee,36.126316,-86.67737,Nashville - Days Inn Airport / Opryland Area,"1 International Plaza, Nashville-Davidson, TN 37217, United States of America"
18,ATL,Hartsfield–Jackson Atlanta International Airport,Atlanta,Georgia,33.640728,-84.427704,Renaissance Concourse Atlanta Airport Hotel,"1 Toffie Terrace, Atlanta, GA 30354, United States of America"
19,SAN,San Diego International Airport,San Diego,California,32.7338,-117.193306,The Sheraton San Diego Hotel & Marina,"Harbor Island Drive, San Diego, CA 92147, United States of America"
20,MCI,Kansas City International Airport,Kansas City,Missouri,39.299118,-94.71078,Kansas City Airport Marriott,"775 North Brasilia Avenue, Kansas City, MO 64153, United States of America"
21,FLL,Fort Lauderdale–Hollywood International Airport,Fort Lauderdale,Florida,26.074234,-80.150604,Le Méridien Dania Beach at Fort Lauderdale Airport,"1825 Griffin Road, Dania Beach, FL 33004, United States of America"
22,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,42.21617,-83.355385,The Westin,"Level 2 Gates, Romulus, MI 48174, United States of America"
23,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,39.177402,-76.668396,,
