Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Spirit Airlines (NK)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"NK","01/01/2022","0133","N930NK","MCO","58"
"NK","01/01/2022","0193","N605NK","LAS","-4"
"NK","01/01/2022","0200","N901NK","ORD","25"
"NK","01/01/2022","0204","N949NK","TPA","1"
"NK","01/01/2022","0258","N907NK","FLL","-3"
"NK","01/01/2022","0327","N643NK","LAX","0"
"NK","01/01/2022","0353","N662NK","FLL","50"
"NK","01/01/2022","0362","N625NK","ATL","86"
"NK","01/01/2022","0391","N671NK","DEN","8"
"NK","01/01/2022","0461","N530NK","LAX","8"
"NK","01/01/2022","0590","N915NK","LAX","-5"
"NK","01/01/2022","0712","N936NK","EWR","-9"
"NK","01/01/2022","0803","N944NK","MCO","-9"
"NK","01/01/2022","0830","N925NK","MCO","47"
"NK","01/01/2022","0903","N638NK","EWR","44"
"NK","01/01/2022","0933","N647NK","LAS","14"
"NK","01/01/2022","1045","N662NK","MSY","84"
"NK","01/01/2022","1156","N519NK","MCO","17"
"NK","01/01/2022","1199","N948NK","LAS","144"
"NK","01/01/2022","1779","N651NK","BWI","5"
"NK","01/01/2022","1906","N925NK","DTW","-6"
"NK","01/01/2022","3141","N602NK","MIA","-5"
"NK","01/02/2022","0133","N936NK","MCO","58"
"NK","01/02/2022","0193","N693NK","LAS","-3"
"NK","01/02/2022","0200","N901NK","ORD","90"
"NK","01/02/2022","0204","N946NK","TPA","43"
"NK","01/02/2022","0258","N628NK","FLL","5"
"NK","01/02/2022","0327","N934NK","LAX","47"
"NK","01/02/2022","0353","N668NK","FLL","31"
"NK","01/02/2022","0362","N609NK","ATL","146"
"NK","01/02/2022","0391","N685NK","DEN","17"
"NK","01/02/2022","0461","N522NK","LAX","30"
"NK","01/02/2022","0590","N643NK","LAX","12"
"NK","01/02/2022","0712","N944NK","EWR","-2"
"NK","01/02/2022","0803","N918NK","MCO","0"
"NK","01/02/2022","0830","N944NK","MCO","-5"
"NK","01/02/2022","0903","N621NK","EWR","0"
"NK","01/02/2022","0933","N649NK","LAS","17"
"NK","01/02/2022","1045","N668NK","MSY","54"
"NK","01/02/2022","1156","N524NK","MCO","105"
"NK","01/02/2022","1199","N918NK","LAS","0"
"NK","01/02/2022","1779","N624NK","BWI","-5"
"NK","01/02/2022","1906","N621NK","DTW","-3"
"NK","01/02/2022","3141","N920NK","MIA","2"
"NK","01/03/2022","0133","N619NK","MCO","118"
"NK","01/03/2022","0193","N697NK","LAS","14"
"NK","01/03/2022","0200","N926NK","ORD","10"
"NK","01/03/2022","0204","N644NK","TPA","65"
"NK","01/03/2022","0258","N927NK","FLL","-1"
"NK","01/03/2022","0327","N939NK","LAX","58"
"NK","01/03/2022","0353","N685NK","FLL","-7"
"NK","01/03/2022","0362","N655NK","ATL","93"
"NK","01/03/2022","0391","N657NK","DEN","28"
"NK","01/03/2022","0461","N530NK","LAX","0"
"NK","01/03/2022","0590","N924NK","LAX","-2"
"NK","01/03/2022","0712","N944NK","EWR","144"
"NK","01/03/2022","0803","N926NK","MCO","0"
"NK","01/03/2022","0830","N937NK","MCO","-7"
"NK","01/03/2022","0903","N648NK","EWR","9"
"NK","01/03/2022","0933","N605NK","LAS","59"
"NK","01/03/2022","1045","N685NK","MSY","11"
"NK","01/03/2022","1156","N531NK","MCO","80"
"NK","01/03/2022","1199","N619NK","LAS","80"
"NK","01/03/2022","1779","N604NK","BWI","3"
"NK","01/03/2022","1906","N937NK","DTW","-6"
"NK","01/03/2022","3141","N943NK","MIA","3"
"NK","01/04/2022","0133","N944NK","MCO","-2"
"NK","01/04/2022","0193","N636NK","LAS","-7"
