Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
"F9","01/01/2022","1578","N235FR","ATL","-1"
"F9","01/01/2022","2141","N232FR","LAS","169"
"F9","01/02/2022","0759","","DEN","0"
"F9","01/02/2022","2139","N353FR","LAS","5"
"F9","01/03/2022","0761","N323FR","DEN","-11"
"F9","01/03/2022","1250","N233FR","MCO","0"
"F9","01/03/2022","1578","N324FR","ATL","3"
"F9","01/03/2022","2139","N374FR","LAS","-10"
"F9","01/03/2022","2318","","PHL","0"
"F9","01/04/2022","0759","N704FR","DEN","-6"
"F9","01/04/2022","2139","N334FR","LAS","8"
"F9","01/05/2022","0759","N374FR","DEN","-1"
"F9","01/05/2022","2141","N238FR","LAS","-5"
"F9","01/05/2022","2318","N301FR","PHL","173"
"F9","01/06/2022","0761","N701FR","DEN","30"
"F9","01/06/2022","2139","N336FR","LAS","-7"
"F9","01/07/2022","0759","N235FR","DEN","95"
"F9","01/07/2022","1250","N371FR","MCO","-2"
"F9","01/07/2022","2141","N216FR","LAS","-2"
"F9","01/08/2022","0759","N305FR","DEN","4"
"F9","01/08/2022","1250","N720FR","MCO","0"
"F9","01/08/2022","2139","N336FR","LAS","101"
"F9","01/09/2022","0759","N704FR","DEN","5"
"F9","01/09/2022","2139","N339FR","LAS","96"
"F9","01/10/2022","0761","N375FR","DEN","-4"
"F9","01/10/2022","1250","N337FR","MCO","-10"
"F9","01/11/2022","0759","N706FR","DEN","3"
"F9","01/12/2022","0759","N710FR","DEN","-11"
"F9","01/12/2022","2141","N332FR","LAS","-10"
"F9","01/13/2022","0761","N705FR","DEN","-9"
"F9","01/13/2022","2139","N373FR","LAS","-10"
"F9","01/14/2022","0759","N305FR","DEN","28"
"F9","01/14/2022","1250","N384FR","MCO","48"
"F9","01/14/2022","2141","N312FR","LAS","14"
"F9","01/15/2022","0759","N360FR","DEN","4"
"F9","01/15/2022","1250","N702FR","MCO","-4"
"F9","01/15/2022","2139","N236FR","LAS","-11"
"F9","01/16/2022","0759","N718FR","DEN","-12"
"F9","01/16/2022","2139","N386FR","LAS","-6"
"F9","01/17/2022","0761","N375FR","DEN","1"
"F9","01/17/2022","1250","N383FR","MCO","20"
"F9","01/18/2022","0759","N711FR","DEN","-5"
"F9","01/19/2022","0759","N711FR","DEN","-3"
"F9","01/19/2022","2141","N373FR","LAS","1002"
"F9","01/20/2022","0761","N366FR","DEN","-9"
"F9","01/20/2022","2139","N304FR","LAS","-1"
"F9","01/21/2022","0759","N346FR","DEN","2"
"F9","01/21/2022","1250","N347FR","MCO","4"
"F9","01/21/2022","2141","N373FR","LAS","38"
"F9","01/22/2022","0759","N304FR","DEN","1"
"F9","01/22/2022","2139","N236FR","LAS","-10"
"F9","01/23/2022","0759","N720FR","DEN","29"
"F9","01/23/2022","2139","N236FR","LAS","53"
"F9","01/24/2022","0761","N346FR","DEN","-7"
"F9","01/24/2022","1250","N387FR","MCO","-8"
"F9","01/25/2022","0759","N702FR","DEN","-5"
"F9","01/26/2022","0759","N702FR","DEN","12"
"F9","01/27/2022","0761","N717FR","DEN","-11"
"F9","01/27/2022","2139","N235FR","LAS","3"
"F9","01/28/2022","0759","N375FR","DEN","-10"
"F9","01/28/2022","1250","N336FR","MCO","-11"
"F9","01/28/2022","2141","N233FR","LAS","-5"
"F9","01/29/2022","0759","N211FR","DEN","7"
"F9","01/29/2022","1250","N719FR","MCO","-10"
"F9","01/29/2022","2139","N334FR","LAS","-1"
"F9","01/30/2022","0759","N717FR","DEN","-12"
"F9","01/30/2022","2139","N350FR","LAS","38"
"F9","01/31/2022","0761","N326FR","DEN","-2"
"F9","01/31/2022","1250","N343FR","MCO","-8"
"F9","02/01/2022","0759","N304FR","DEN","-5"
"F9","02/02/2022","0759","N235FR","DEN","7"
"F9","02/02/2022","2141","N350FR","LAS","-11"
"F9","02/03/2022","0761","N720FR","DEN","0"
"F9","02/03/2022","2139","N385FR","LAS","17"
"F9","02/04/2022","0759","N717FR","DEN","62"
"F9","02/04/2022","1250","N343FR","MCO","14"
"F9","02/04/2022","2141","N385FR","LAS","22"
"F9","02/05/2022","0759","N371FR","DEN","0"
"F9","02/05/2022","1250","N705FR","MCO","-5"
"F9","02/05/2022","2139","N374FR","LAS","0"
"F9","02/06/2022","0759","N713FR","DEN","-11"
"F9","02/06/2022","2139","N361FR","LAS","17"
"F9","02/07/2022","0761","N335FR","DEN","-2"
"F9","02/07/2022","1250","","MCO","0"
"F9","02/07/2022","2139","N207FR","LAS","199"
"F9","02/08/2022","0759","N706FR","DEN","114"
"F9","02/09/2022","0759","N713FR","DEN","-7"
"F9","02/09/2022","2141","N238FR","LAS","4"
"F9","02/10/2022","0761","N701FR","DEN","7"
"F9","02/10/2022","2139","N233FR","LAS","6"
"F9","02/11/2022","0759","N720FR","DEN","-5"
"F9","02/11/2022","1250","N373FR","MCO","-2"
"F9","02/11/2022","2141","N310FR","LAS","18"
"F9","02/12/2022","0759","N362FR","DEN","-6"
"F9","02/12/2022","1250","N722FR","MCO","43"
"F9","02/12/2022","2139","N305FR","LAS","0"
"F9","02/13/2022","0759","N706FR","DEN","-5"
"F9","02/13/2022","2139","N336FR","LAS","45"
"F9","02/14/2022","0761","N382FR","DEN","6"
"F9","02/14/2022","1250","N235FR","MCO","53"
"F9","02/14/2022","2139","N313FR","LAS","29"
"F9","02/15/2022","0759","N706FR","DEN","31"
"F9","02/16/2022","0759","N706FR","DEN","233"
"F9","02/16/2022","2141","N210FR","LAS","41"
"F9","02/17/2022","0761","N712FR","DEN","-3"
"F9","02/17/2022","2318","N365FR","PHL","-8"
"F9","02/18/2022","0759","N228FR","DEN","0"
"F9","02/18/2022","1250","N213FR","MCO","13"
"F9","02/18/2022","2141","N370FR","LAS","18"
"F9","02/19/2022","1250","N381FR","MCO","69"
"F9","02/19/2022","2139","N341FR","LAS","34"
"F9","02/20/2022","0759","N701FR","DEN","24"
