YEAR,QUARTER,MONTH,FL_DATE,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_DISTANCE,,
1,1,1,17,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,13,14,16,13,15,1,1,1,5,2,4,2,2,1
1,4,12,364,244,1,1,1,1,1,1,1,1,2,1,1,1,1,1,67,30,121,133,40,96,2,3,2,30,6,31,2,4,2
1,1,2,28,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,15,16,20,16,20,2,2,1,2,2,2,2,2,1
1,1,2,29,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,15,22,27,20,24,1,1,1,8,4,12,2,7,1
1,4,9,166,87,1,1,1,1,1,1,1,1,2,1,1,1,1,1,73,32,84,89,28,86,2,3,2,20,5,18,2,42,2
1,4,10,236,165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,27,79,92,38,78,2,3,1,20,6,23,2,5,1
1,1,3,50,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,17,32,36,12,34,2,2,1,6,2,10,2,7,1
1,3,9,230,171,1,1,1,1,1,1,1,2,2,2,2,2,2,2,87,31,130,145,30,103,2,4,2,21,8,20,2,43,2
1,1,3,56,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,15,36,37,9,32,2,4,1,4,3,9,2,2,1
1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,2,2,2,2,2,1
1,4,8,189,141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,26,102,106,24,73,2,3,1,18,4,13,2,26,1
1,4,12,231,129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71,37,94,101,19,86,2,3,2,22,3,32,2,34,2
1,4,12,334,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,35,84,90,22,85,2,3,1,16,6,17,3,26,1
1,4,12,356,248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,105,37,122,126,26,114,2,3,2,21,14,28,2,55,2
1,4,11,291,181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78,30,87,95,27,93,2,3,2,24,16,20,2,38,2
1,2,3,74,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,21,53,55,21,54,2,2,1,16,4,14,2,29,1
1,2,4,82,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51,20,48,53,14,58,2,3,1,6,3,7,2,25,1
1,2,2,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,10,13,14,14,18,1,1,1,3,2,3,2,3,1
1,3,7,160,131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84,31,100,102,26,92,2,2,1,24,12,17,2,44,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,29,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,23,24,9,21,1,1,1,3,2,3,2,4,1
1,3,9,211,161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,35,91,95,20,68,2,3,1,21,2,14,2,11,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,4,91,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,25,40,47,32,52,2,3,1,10,2,15,3,11,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,3,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,8,210,153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,24,74,89,25,60,2,3,2,12,5,6,2,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,5,121,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,22,48,60,14,50,2,4,1,17,3,11,2,3,1
1,1,2,42,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,15,31,29,16,29,1,1,1,5,4,6,2,2,1
1,2,2,27,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,17,22,23,13,22,1,1,1,2,2,2,2,6,1
1,1,2,31,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,16,26,31,12,26,2,2,1,8,4,10,2,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,9,242,186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,38,84,93,27,71,2,3,1,18,5,24,2,2,1
1,4,10,237,181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,39,81,79,22,87,2,3,1,9,5,15,2,23,1
1,1,3,84,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,18,31,42,11,40,1,1,1,4,2,4,2,6,1
1,2,4,81,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,22,51,53,21,44,2,3,1,7,2,4,2,18,1
1,4,7,144,116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,20,55,60,18,46,2,3,1,9,2,4,2,3,1
1,4,9,199,155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73,31,85,86,17,80,2,2,2,14,11,14,2,33,2
1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,1,1,1,2,2,2,2,2,1
1,4,11,257,191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,32,83,87,22,74,2,2,1,16,7,14,2,3,1
1,1,2,34,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,16,25,30,12,23,2,2,1,3,2,2,2,2,1
1,1,2,51,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,23,35,34,17,39,2,2,1,5,2,2,2,7,1
1,2,4,95,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,19,43,41,20,42,2,3,1,12,4,11,2,17,1
1,3,7,151,124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,33,78,74,26,59,2,2,1,13,4,10,2,3,1
1,3,9,210,161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,33,86,86,26,88,2,4,1,19,10,15,2,35,1
1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1
1,2,3,57,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,15,28,37,12,38,1,1,1,8,2,3,2,4,1
1,1,2,28,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,17,22,23,5,22,1,1,1,5,2,6,2,2,1
1,4,12,364,226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,30,114,118,34,87,2,4,2,31,4,29,2,3,2
1,1,2,30,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,20,24,9,22,2,2,1,2,2,2,2,2,1
1,1,3,59,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,18,30,38,18,38,2,2,1,9,3,9,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,3,61,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,25,33,36,13,38,2,3,1,4,4,8,2,2,1
1,3,7,166,133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,26,70,72,25,74,2,2,2,19,3,16,2,23,2
1,4,12,339,130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,70,36,84,104,40,98,2,3,2,20,6,34,2,24,2
